Gene_A	Gene_B	Score
TMPRSS11D	TMPRSS11A	0.525
HOXA10	PAX6	0.406
HOXA10	HOXA13	0.784
CERS3	CASP14	0.544
CERS3	SDR9C7	0.652
CERS3	ALOXE3	0.735
SKA1	CDC45	0.464
SKA1	RAD54L	0.56
SKA1	CKAP2L	0.59
SKA1	DEPDC1	0.596
SKA1	CDC25C	0.599
SKA1	KIF18B	0.6
SKA1	GTSE1	0.61
SKA1	TPX2	0.611
SKA1	UBE2C	0.613
SKA1	PPP2R2C	0.625
SKA1	FOXM1	0.638
SKA1	ASPM	0.649
SKA1	CDCA2	0.654
SKA1	EXO1	0.678
SKA1	NEK2	0.693
SKA1	MCM10	0.714
SKA1	HJURP	0.721
SKA1	TTK	0.731
SKA1	KIF14	0.732
SKA1	KIF4A	0.744
SKA1	BIRC5	0.752
SKA1	CDCA3	0.772
SKA1	PBK	0.773
SKA1	MELK	0.816
SKA1	KIF2C	0.838
SKA1	CENPA	0.843
SKA1	AURKB	0.883
SKA1	CDC20	0.933
SKA1	BUB1B	0.976
SKA1	SKA3	0.999
BUB1B	H2BW1	0.409
BUB1B	H2BC17	0.427
BUB1B	H2BC9	0.435
BUB1B	FAM72D	0.438
BUB1B	FAM72B	0.476
BUB1B	CKAP2L	0.537
BUB1B	E2F7	0.606
BUB1B	GTSE1	0.617
BUB1B	H3C12	0.628
BUB1B	RAD54L	0.745
BUB1B	MCM10	0.766
BUB1B	EXO1	0.807
BUB1B	CDC25C	0.809
BUB1B	CDC45	0.817
BUB1B	KIF18B	0.838
BUB1B	DEPDC1	0.85
BUB1B	KIF14	0.878
BUB1B	CDCA3	0.886
BUB1B	HJURP	0.897
BUB1B	CDCA2	0.916
BUB1B	TPX2	0.936
BUB1B	PBK	0.937
BUB1B	FOXM1	0.944
BUB1B	MELK	0.953
BUB1B	KIF4A	0.968
BUB1B	ASPM	0.974
BUB1B	SKA3	0.976
BUB1B	CENPA	0.985
BUB1B	BIRC5	0.987
BUB1B	KIF2C	0.991
BUB1B	TTK	0.991
BUB1B	UBE2C	0.991
BUB1B	NEK2	0.999
BUB1B	AURKB	0.999
BUB1B	CDC20	0.999
GRHL3	SPRR1A	0.4
GRHL3	SBSN	0.406
GRHL3	SPRR1B	0.407
GRHL3	TFAP2A	0.423
GRHL3	FOXE1	0.446
GRHL3	PAX3	0.55
HOXB13	HOXB9	0.406
HOXB13	SLC30A10	0.411
HOXB13	HOXC10	0.509
IGF2BP1	FOXM1	0.405
IGF2BP1	HMGA2	0.84
PGLYRP3	KRT78	0.463
PGLYRP3	IVL	0.593
PGLYRP3	PGLYRP4	0.944
LY6K	LY6D	0.46
LY6K	FOXM1	0.498
LY6K	TTK	0.697
LY6K	DEPDC1	0.707
SDR9C7	STRA6	0.591
SDR9C7	CASP14	0.622
SDR9C7	ALOXE3	0.689
FGF11	FGF19	0.528
FGF19	TERT	0.432
EN1	SOX2	0.414
EN1	OTX2	0.456
EN1	PAX6	0.726
PTPRN	SLC30A10	0.932
TLX3	HOXD13	0.416
TLX3	POU4F1	0.508
TLX3	PRDM13	0.527
TLX3	LMO1	0.824
EN2	LHX2	0.453
MELK	E2F7	0.531
MELK	RAD54L	0.649
MELK	CDCA2	0.662
MELK	KIF18B	0.68
MELK	SKA3	0.718
MELK	GTSE1	0.746
MELK	DEPDC1	0.751
MELK	CDC25C	0.821
MELK	NEK2	0.822
MELK	KIF14	0.854
MELK	MCM10	0.861
MELK	CDCA3	0.872
MELK	CDC45	0.876
MELK	CENPA	0.882
MELK	EXO1	0.9
MELK	AURKB	0.902
MELK	CKAP2L	0.912
MELK	HJURP	0.924
MELK	TTK	0.931
MELK	KIF2C	0.935
MELK	ASPM	0.946
MELK	UBE2C	0.948
MELK	TPX2	0.958
MELK	PBK	0.963
MELK	KIF4A	0.964
MELK	CDC20	0.964
MELK	BIRC5	0.965
MELK	FOXM1	0.973
NGB	GPX2	0.488
RNASE7	S100A7A	0.431
RNASE7	LCE3D	0.453
RNASE7	S100A7	0.813
A2ML1	COL17A1	0.403
A2ML1	SPRR1B	0.426
A2ML1	DSC3	0.43
A2ML1	KLK6	0.77
MMP3	COL11A1	0.443
MMP3	COL7A1	0.557
MMP3	MMP12	0.764
MMP3	MMP1	0.985
TPX2	E2F7	0.421
TPX2	SLCO6A1	0.461
TPX2	RAD54L	0.633
TPX2	CDC25C	0.644
TPX2	KIF18B	0.683
TPX2	GTSE1	0.687
TPX2	CKAP2L	0.756
TPX2	CDC45	0.766
TPX2	SKA3	0.791
TPX2	MCM10	0.795
TPX2	EXO1	0.807
TPX2	CDCA2	0.81
TPX2	CDCA3	0.881
TPX2	CENPA	0.882
TPX2	HJURP	0.892
TPX2	KIF14	0.903
TPX2	DEPDC1	0.903
TPX2	FOXM1	0.932
TPX2	TTK	0.935
TPX2	AURKB	0.94
TPX2	NEK2	0.942
TPX2	PBK	0.945
TPX2	ASPM	0.949
TPX2	BIRC5	0.952
TPX2	CDC20	0.961
TPX2	KIF4A	0.965
TPX2	UBE2C	0.965
TPX2	KIF2C	0.999
LY6D	KRT16	0.495
LY6D	TRIM29	0.565
BIRC5	CASP14	0.517
BIRC5	E2F7	0.58
BIRC5	CKAP2L	0.581
BIRC5	SOX2	0.586
BIRC5	SKA3	0.594
BIRC5	RAD54L	0.655
BIRC5	CDCA2	0.658
BIRC5	MCM10	0.685
BIRC5	KIF14	0.741
BIRC5	H3C12	0.784
BIRC5	CDC25C	0.787
BIRC5	KIF18B	0.82
BIRC5	DEPDC1	0.821
BIRC5	EXO1	0.823
BIRC5	GTSE1	0.852
BIRC5	CDC45	0.873
BIRC5	ASPM	0.879
BIRC5	HJURP	0.912
BIRC5	KIF4A	0.925
BIRC5	TTK	0.936
BIRC5	NEK2	0.94
BIRC5	CENPA	0.955
BIRC5	FOXM1	0.958
BIRC5	CDCA3	0.96
BIRC5	KIF2C	0.972
BIRC5	PBK	0.978
BIRC5	UBE2C	0.992
BIRC5	CDC20	0.995
BIRC5	AURKB	0.999
KRT16	COL17A1	0.43
KRT16	KRT34	0.438
KRT16	KLK8	0.45
KRT16	TRIM29	0.453
KRT16	KLK6	0.469
KRT16	SPRR2A	0.472
KRT16	SERPINB4	0.48
KRT16	SBSN	0.489
KRT16	DSC3	0.499
KRT16	SPRR2D	0.5
KRT16	S100A2	0.555
KRT16	SPRR3	0.582
KRT16	LGALS7	0.585
KRT16	S100A7A	0.619
KRT16	SPRR1A	0.638
KRT16	IVL	0.677
KRT16	SPRR1B	0.687
KRT16	S100A7	0.818
KRT16	KRT17	0.88
KRT16	KRT6A	0.928
ZNF280A	PRAME	0.669
UGT1A6	SLCO6A1	0.427
UGT1A6	AKR1B10	0.554
UGT1A6	GPX2	0.568
UGT1A6	ADH7	0.745
UGT1A6	UGT1A7	0.994
UGT1A6	UGT1A1	0.998
H2AC8	H2BW1	0.47
H2AC8	H1-5	0.751
H2AC8	TERT	0.805
H2AC8	SOX2	0.811
H2AC8	H2BC8	0.878
H2AC8	H2BC7	0.939
H2AC8	H2BC9	0.949
H2AC8	H2AC13	0.969
H2AC8	H3C8	0.98
H2AC8	H3C2	0.98
H2AC8	H2BC17	0.985
H2AC8	H3C7	0.988
H2AC8	CENPA	0.993
H2AC8	H4C5	0.996
H2AC8	H3C12	0.998
UGT1A1	SLCO6A1	0.427
UGT1A1	GPX2	0.442
UGT1A1	ADH7	0.722
UGT1A1	UGT1A7	0.994
CKAP2L	RAD54L	0.467
CKAP2L	E2F7	0.473
CKAP2L	FOXM1	0.498
CKAP2L	EXO1	0.545
CKAP2L	UBE2C	0.575
CKAP2L	MCM10	0.581
CKAP2L	CDC20	0.618
CKAP2L	NEK2	0.618
CKAP2L	KIF18B	0.622
CKAP2L	TTK	0.652
CKAP2L	DEPDC1	0.652
CKAP2L	CDC25C	0.686
CKAP2L	GTSE1	0.736
CKAP2L	AURKB	0.737
CKAP2L	CDC45	0.752
CKAP2L	PBK	0.775
CKAP2L	SKA3	0.784
CKAP2L	KIF2C	0.795
CKAP2L	CDCA3	0.8
CKAP2L	CENPA	0.829
CKAP2L	KIF4A	0.843
CKAP2L	KIF14	0.852
CKAP2L	CDCA2	0.871
CKAP2L	ASPM	0.883
CKAP2L	HJURP	0.913
KRT78	SPRR1B	0.404
KRT78	SPRR2A	0.406
KRT78	TMPRSS11E	0.411
KRT78	KRT74	0.432
KRT78	SERPINB12	0.44
KRT78	SPRR2D	0.443
KRT78	CRCT1	0.444
KRT78	KRT3	0.467
KRT78	SPRR1A	0.481
KRT78	KRT77	0.484
KRT78	SPRR2E	0.486
KRT78	SPRR3	0.505
KRT78	SBSN	0.514
KRT78	KRT6A	0.517
KRT78	LCE3D	0.541
KRT78	KPRP	0.791
SPRR1B	SPRR4	0.447
SPRR1B	CLCA2	0.451
SPRR1B	SBSN	0.474
SPRR1B	S100A2	0.483
SPRR1B	KRT17	0.485
SPRR1B	DSG4	0.513
SPRR1B	CASP14	0.535
SPRR1B	LCE1C	0.606
SPRR1B	S100A7	0.691
SPRR1B	RPTN	0.694
SPRR1B	CRCT1	0.697
SPRR1B	DSC3	0.699
SPRR1B	KLK6	0.707
SPRR1B	LCE3D	0.839
SPRR1B	KRT6A	0.882
SPRR1B	SPRR3	0.892
SPRR1B	SPRR2F	0.894
SPRR1B	SPRR2G	0.896
SPRR1B	SPRR2E	0.929
SPRR1B	SPRR2D	0.937
SPRR1B	SPRR2A	0.938
SPRR1B	IVL	0.967
SPRR1B	SPRR1A	0.999
BNC1	IVL	0.406
KRT74	KRT3	0.415
KRT74	KRT34	0.416
KRT74	KRT6A	0.44
KRT74	DSG4	0.443
KRT74	KRT77	0.483
HOXC10	HOXC11	0.871
HOXC10	HOXC9	0.9
TMPRSS11E	TMPRSS4	0.423
KRT17	SPRR1A	0.405
KRT17	S100A7	0.419
KRT17	LGALS7	0.425
KRT17	IVL	0.427
KRT17	KRT34	0.427
KRT17	DSC3	0.431
KRT17	COL17A1	0.434
KRT17	COL7A1	0.454
KRT17	TRIM29	0.588
KRT17	S100A2	0.599
KRT17	SERPINB5	0.627
KRT17	KRT6A	0.811
HOXB9	FOXD3	0.431
HOXB9	OTX2	0.431
DAPL1	NPSR1	0.518
TERT	FOXM1	0.452
TERT	DMRT1	0.53
TERT	H3C2	0.544
TERT	OTX1	0.553
TERT	H3C12	0.575
TERT	EXO1	0.604
TERT	FOXE1	0.67
TERT	SOX2	0.752
TERT	H2AC13	0.806
TERT	H2BC7	0.807
TERT	H2BC8	0.807
NETO1	CAPNS2	0.515
AURKB	H2BW1	0.461
AURKB	H2BC17	0.476
AURKB	H2BC9	0.484
AURKB	E2F7	0.492
AURKB	RAD54L	0.564
AURKB	DEPDC1	0.569
AURKB	SLCO6A1	0.672
AURKB	MCM10	0.73
AURKB	KIF18B	0.752
AURKB	CDCA2	0.756
AURKB	NEK2	0.783
AURKB	TTK	0.784
AURKB	SKA3	0.785
AURKB	PBK	0.791
AURKB	EXO1	0.797
AURKB	KIF14	0.832
AURKB	GTSE1	0.841
AURKB	CDC25C	0.843
AURKB	FOXM1	0.889
AURKB	ASPM	0.89
AURKB	H3C12	0.909
AURKB	CDC45	0.926
AURKB	HJURP	0.927
AURKB	CDCA3	0.933
AURKB	KIF4A	0.942
AURKB	UBE2C	0.955
AURKB	KIF2C	0.996
AURKB	CENPA	0.997
AURKB	CDC20	0.998
ALOXE3	CASP14	0.587
CALML3	CLCA4	0.4
CALML3	RAB3B	0.423
CALML3	GPX2	0.425
CALML3	H3C12	0.448
CALML3	CASKIN1	0.448
CALML3	CLCA2	0.485
CALML3	SLCO6A1	0.518
CALML3	PNCK	0.565
CALML3	ASPM	0.593
CALML3	CACNA1B	0.776
CALML3	STRA6	0.8
CALML3	CALML5	0.967
CNGB3	SLC24A2	0.44
RPTN	S100A7	0.408
RPTN	SPRR2F	0.51
RPTN	SPRR4	0.513
RPTN	DSG4	0.553
RPTN	DSC3	0.556
RPTN	KPRP	0.584
RPTN	SPRR2D	0.605
RPTN	CASP14	0.607
RPTN	SPRR2E	0.683
RPTN	SPRR3	0.704
RPTN	LCE1C	0.721
RPTN	SPRR1A	0.723
RPTN	SPRR2G	0.732
RPTN	SPRR2A	0.74
RPTN	LCE3D	0.776
RPTN	IVL	0.785
SKA3	PPP2R2C	0.489
SKA3	KIF14	0.504
SKA3	KIF18B	0.514
SKA3	NEK2	0.532
SKA3	CDCA3	0.586
SKA3	CDC25C	0.588
SKA3	RAD54L	0.595
SKA3	CDC45	0.602
SKA3	HJURP	0.61
SKA3	GTSE1	0.618
SKA3	CENPA	0.657
SKA3	CDC20	0.666
SKA3	ASPM	0.673
SKA3	PBK	0.675
SKA3	FOXM1	0.683
SKA3	DEPDC1	0.714
SKA3	UBE2C	0.719
SKA3	MCM10	0.724
SKA3	EXO1	0.8
SKA3	KIF4A	0.813
SKA3	KIF2C	0.867
SKA3	TTK	0.87
SKA3	CDCA2	0.874
CDC25C	H3C12	0.521
CDC25C	MCM10	0.535
CDC25C	KIF18B	0.544
CDC25C	SLCO6A1	0.565
CDC25C	RAD54L	0.574
CDC25C	ASPM	0.615
CDC25C	EXO1	0.622
CDC25C	CDCA3	0.662
CDC25C	PBK	0.663
CDC25C	CDCA2	0.713
CDC25C	GTSE1	0.721
CDC25C	KIF14	0.742
CDC25C	TTK	0.787
CDC25C	KIF4A	0.798
CDC25C	DEPDC1	0.808
CDC25C	NEK2	0.814
CDC25C	UBE2C	0.816
CDC25C	FOXM1	0.823
CDC25C	CENPA	0.845
CDC25C	CDC45	0.856
CDC25C	HJURP	0.865
CDC25C	CDC20	0.9
CDC25C	KIF2C	0.907
MMP1	COL11A1	0.599
MMP1	MMP12	0.625
MMP1	COL7A1	0.673
E2F7	CENPA	0.424
E2F7	DEPDC1	0.425
E2F7	CDCA3	0.447
E2F7	KIF14	0.448
E2F7	KIF2C	0.452
E2F7	RAD54L	0.462
E2F7	KIF4A	0.473
E2F7	HJURP	0.479
E2F7	MCM10	0.498
E2F7	CDCA2	0.527
E2F7	UBE2C	0.529
E2F7	EXO1	0.535
E2F7	PBK	0.557
E2F7	NEK2	0.578
E2F7	TTK	0.579
E2F7	CDC45	0.582
E2F7	CDC20	0.584
E2F7	FOXM1	0.652
E2F7	ASPM	0.724
SOX2	FOXD1	0.401
SOX2	DSC3	0.415
SOX2	SERPINB5	0.428
SOX2	ADH7	0.446
SOX2	ASPM	0.466
SOX2	POU4F1	0.483
SOX2	DLX1	0.49
SOX2	OTX1	0.491
SOX2	PITX2	0.503
SOX2	MAGEA4	0.511
SOX2	DLX5	0.517
SOX2	FOXM1	0.533
SOX2	TFAP2A	0.543
SOX2	FOXE1	0.553
SOX2	ZIC2	0.581
SOX2	PAX7	0.584
SOX2	NR0B1	0.585
SOX2	LHX2	0.601
SOX2	NKX2-5	0.614
SOX2	PAX3	0.655
SOX2	HMGA2	0.697
SOX2	H4C5	0.804
SOX2	H3C7	0.806
SOX2	H3C8	0.808
SOX2	H3C2	0.824
SOX2	FOXD3	0.891
SOX2	OTX2	0.914
SOX2	H3C12	0.923
SOX2	PAX6	0.977
NKX2-5	H3C12	0.403
NKX2-5	FOXE1	0.61
NKX2-5	IRX4	0.801
CDCA2	H3C12	0.427
CDCA2	FOXM1	0.585
CDCA2	RAD54L	0.586
CDCA2	EXO1	0.598
CDCA2	KIF18B	0.599
CDCA2	MCM10	0.61
CDCA2	CDC45	0.652
CDCA2	NEK2	0.678
CDCA2	UBE2C	0.681
CDCA2	HJURP	0.75
CDCA2	KIF14	0.754
CDCA2	GTSE1	0.804
CDCA2	DEPDC1	0.817
CDCA2	CENPA	0.82
CDCA2	CDC20	0.822
CDCA2	ASPM	0.836
CDCA2	PBK	0.86
CDCA2	TTK	0.872
CDCA2	KIF2C	0.885
CDCA2	CDCA3	0.91
CDCA2	KIF4A	0.933
H1-5	H2BC7	0.415
H1-5	H2BC8	0.457
H1-5	H2BC9	0.559
H1-5	H3C7	0.574
H1-5	H2BC17	0.574
H1-5	H3C8	0.584
H1-5	H3C12	0.599
H1-5	H3C2	0.759
H1-5	H4C5	0.843
H1-5	H2AC13	0.894
SPRR3	ASPM	0.417
SPRR3	SBSN	0.423
SPRR3	KPRP	0.469
SPRR3	LCE1C	0.503
SPRR3	S100A2	0.503
SPRR3	CASP14	0.507
SPRR3	S100A7	0.523
SPRR3	DSG4	0.569
SPRR3	DSC3	0.642
SPRR3	SPRR4	0.683
SPRR3	CRCT1	0.694
SPRR3	KRT6A	0.7
SPRR3	SPRR2F	0.755
SPRR3	SPRR2G	0.782
SPRR3	SPRR2E	0.808
SPRR3	SPRR2D	0.836
SPRR3	LCE3D	0.841
SPRR3	SPRR2A	0.862
SPRR3	SPRR1A	0.894
SPRR3	IVL	0.943
GAST	GTSE1	0.62
SPRR4	KRT6A	0.41
SPRR4	SERPINB7	0.412
SPRR4	SPRR2F	0.433
SPRR4	DSG4	0.449
SPRR4	SPRR1A	0.464
SPRR4	S100A7	0.467
SPRR4	KLK6	0.468
SPRR4	S100A2	0.491
SPRR4	SPRR2D	0.492
SPRR4	LCE1C	0.496
SPRR4	LCE3D	0.525
SPRR4	SERPINB12	0.526
SPRR4	SPRR2A	0.526
SPRR4	SPRR2E	0.549
SPRR4	SPRR2G	0.555
SPRR4	KRT77	0.567
SPRR4	IVL	0.658
SPRR4	KPRP	0.694
COL7A1	MMP12	0.432
COL7A1	GJB2	0.485
COL7A1	COL11A1	0.526
COL7A1	COL17A1	0.651
SULT4A1	INA	0.408
TMPRSS11A	TMPRSS4	0.42
CENPA	FAM72D	0.464
CENPA	RAD54L	0.551
CENPA	H2BW1	0.573
CENPA	KIF18B	0.622
CENPA	MCM10	0.678
CENPA	CDC45	0.707
CENPA	EXO1	0.75
CENPA	FOXM1	0.794
CENPA	GTSE1	0.807
CENPA	H3C7	0.811
CENPA	KIF14	0.812
CENPA	H3C8	0.814
CENPA	H3C2	0.815
CENPA	NEK2	0.85
CENPA	DEPDC1	0.858
CENPA	H2BC7	0.86
CENPA	H2BC8	0.861
CENPA	ASPM	0.865
CENPA	CDCA3	0.89
CENPA	TTK	0.905
CENPA	KIF4A	0.906
CENPA	H3C12	0.917
CENPA	PBK	0.925
CENPA	UBE2C	0.938
CENPA	H2AC13	0.947
CENPA	H4C5	0.967
CENPA	H2BC9	0.983
CENPA	H2BC17	0.985
CENPA	KIF2C	0.986
CENPA	CDC20	0.986
CENPA	HJURP	0.999
LMO1	LHX2	0.429
LMO1	DLX1	0.433
LMO1	SHOX2	0.654
LMO1	TLX1	0.83
GJB5	CLCA2	0.417
GJB5	TRIM29	0.423
GJB5	GJB6	0.43
GJB5	GJB2	0.431
GJB5	GJB4	0.646
GJB5	GJB3	0.691
AMTN	DSG4	0.405
AMTN	COL17A1	0.649
AMTN	WDR72	0.659
FOXM1	TLX1	0.415
FOXM1	H3C12	0.512
FOXM1	GTSE1	0.626
FOXM1	RAD54L	0.642
FOXM1	CDC45	0.669
FOXM1	KIF14	0.751
FOXM1	EXO1	0.753
FOXM1	TTK	0.766
FOXM1	NEK2	0.803
FOXM1	KIF18B	0.813
FOXM1	MCM10	0.844
FOXM1	PBK	0.845
FOXM1	DEPDC1	0.845
FOXM1	ASPM	0.848
FOXM1	CDCA3	0.885
FOXM1	KIF2C	0.888
FOXM1	UBE2C	0.894
FOXM1	KIF4A	0.897
FOXM1	HJURP	0.918
FOXM1	CDC20	0.937
KRT77	SPRR2D	0.419
KRT77	KRT3	0.433
KRT77	SPRR2G	0.461
KRT77	S100A2	0.47
KRT77	SERPINB12	0.476
KRT77	S100A7	0.484
KRT77	KLK6	0.501
KRT77	KRT6A	0.577
TRIM29	GJB3	0.498
TRIM29	KRT6A	0.539
TRIM29	UBE2C	0.55
TRIM29	SERPINB5	0.604
SERPINB4	KRT6A	0.425
SERPINB4	S100A2	0.427
SERPINB4	KLK6	0.464
SERPINB4	SPRR2D	0.502
SERPINB4	S100A7A	0.562
SERPINB4	S100A7	0.705
CASKIN1	CALML5	0.448
CASKIN1	SLCO6A1	0.463
GJB4	GJB6	0.421
GJB4	GJB3	0.744
GJB4	GJB2	0.75
MAGEA11	CSAG3	0.4
MAGEA11	MAGEA1	0.465
TMPRSS11F	TMPRSS4	0.46
UBE2C	RAD54L	0.569
UBE2C	MCM10	0.622
UBE2C	KIF14	0.645
UBE2C	DEPDC1	0.686
UBE2C	EXO1	0.695
UBE2C	GTSE1	0.71
UBE2C	CDC45	0.836
UBE2C	KIF18B	0.843
UBE2C	KIF4A	0.905
UBE2C	TTK	0.911
UBE2C	NEK2	0.923
UBE2C	HJURP	0.924
UBE2C	ASPM	0.943
UBE2C	PBK	0.946
UBE2C	KIF2C	0.954
UBE2C	CDCA3	0.962
UBE2C	CDC20	0.999
H2BC7	H3C2	0.931
H2BC7	H3C7	0.937
H2BC7	H3C8	0.943
H2BC7	H3C12	0.945
H2BC7	H2BC8	0.946
H2BC7	H2BC17	0.964
H2BC7	H2BC9	0.966
H2BC7	H4C5	0.99
H2BC7	H2AC13	0.991
MAGEA1	ACTL8	0.421
MAGEA1	CSAG3	0.432
MAGEA1	MAGEB2	0.435
MAGEA1	MAGEA4	0.547
MAGEA1	MAGEA3	0.682
MAGEA1	PRAME	0.728
MAGEA1	CSAG1	0.82
H2AC13	H2BW1	0.469
H2AC13	H3C8	0.731
H2AC13	H3C7	0.736
H2AC13	H3C2	0.748
H2AC13	H3C12	0.885
H2AC13	H2BC9	0.927
H2AC13	H2BC17	0.977
H2AC13	H4C5	0.98
H2AC13	H2BC8	0.981
H3C12	PAX7	0.421
H3C12	CALML5	0.447
H3C12	EXO1	0.468
H3C12	KIF2C	0.487
H3C12	CDC45	0.507
H3C12	PAX6	0.538
H3C12	CDC20	0.551
H3C12	PADI1	0.56
H3C12	PADI3	0.622
H3C12	HJURP	0.647
H3C12	H2BW1	0.864
H3C12	SLCO6A1	0.868
H3C12	H2BC8	0.927
H3C12	H2BC9	0.931
H3C12	H3C8	0.949
H3C12	H3C7	0.949
H3C12	H3C2	0.976
H3C12	H4C5	0.978
H3C12	H2BC17	0.987
AKR1B10	ADH7	0.583
AKR1B10	AKR1B15	0.597
AKR1B10	GPX2	0.65
PGLYRP4	IVL	0.633
DSG4	KPRP	0.43
DSG4	KRTAP19-1	0.436
DSG4	KRTAP4-1	0.458
DSG4	KLK8	0.485
DSG4	SPRR2A	0.537
DSG4	SPRR1A	0.539
DSG4	SPRR2D	0.545
DSG4	KRT34	0.546
DSG4	SPRR2E	0.554
DSG4	SPRR2F	0.557
DSG4	SPRR2G	0.571
DSG4	IVL	0.616
DSG4	DSC3	0.654
DMBX1	OTX2	0.632
MAGEA4	CSAG3	0.418
MAGEA4	MAGEA3	0.572
MAGEA4	PRAME	0.739
DSC3	CLCA2	0.408
DSC3	COL17A1	0.474
DSC3	KRT6A	0.522
DSC3	SPRR2F	0.532
DSC3	SERPINB5	0.544
DSC3	SPRR2E	0.567
DSC3	SPRR2A	0.584
DSC3	SPRR2D	0.594
DSC3	SPRR2G	0.599
DSC3	IVL	0.629
DSC3	SPRR1A	0.679
DLX1	SP8	0.488
DLX1	LHX2	0.518
DLX1	SP9	0.524
DLX1	DLX5	0.586
TEDC2	RAD54L	0.537
TEDC2	CDC45	0.603
EXO1	KIF18B	0.439
EXO1	DEPDC1	0.593
EXO1	GTSE1	0.606
EXO1	NEK2	0.612
EXO1	KIF4A	0.666
EXO1	CDCA3	0.671
EXO1	KIF14	0.714
EXO1	HJURP	0.746
EXO1	KIF2C	0.764
EXO1	PBK	0.773
EXO1	CDC20	0.796
EXO1	RAD54L	0.832
EXO1	ASPM	0.848
EXO1	TTK	0.896
EXO1	MCM10	0.954
EXO1	CDC45	0.963
OTX1	OTX2	0.456
OTX1	ONECUT2	0.539
OTX1	LHX2	0.545
NEK2	CALML5	0.422
NEK2	RAD54L	0.481
NEK2	KIF18B	0.539
NEK2	GTSE1	0.553
NEK2	MCM10	0.573
NEK2	CDC45	0.657
NEK2	HJURP	0.812
NEK2	TTK	0.845
NEK2	DEPDC1	0.847
NEK2	KIF4A	0.858
NEK2	PBK	0.88
NEK2	KIF14	0.882
NEK2	CDCA3	0.911
NEK2	ASPM	0.916
NEK2	KIF2C	0.92
NEK2	CDC20	0.999
KIF14	FAM72D	0.417
KIF14	CDC45	0.515
KIF14	RAD54L	0.537
KIF14	CDCA3	0.644
KIF14	CDC20	0.674
KIF14	GTSE1	0.689
KIF14	MCM10	0.744
KIF14	KIF18B	0.762
KIF14	PBK	0.779
KIF14	DEPDC1	0.873
KIF14	KIF2C	0.901
KIF14	TTK	0.904
KIF14	KIF4A	0.921
KIF14	HJURP	0.927
KIF14	ASPM	0.963
ASPM	PAX6	0.4
ASPM	KRT6A	0.45
ASPM	CALML5	0.595
ASPM	RAD54L	0.667
ASPM	GTSE1	0.689
ASPM	CDC45	0.703
ASPM	MCM10	0.723
ASPM	KIF18B	0.733
ASPM	DEPDC1	0.861
ASPM	CDCA3	0.864
ASPM	HJURP	0.931
ASPM	KIF2C	0.936
ASPM	PBK	0.951
ASPM	KIF4A	0.952
ASPM	TTK	0.957
ASPM	CDC20	0.972
S100A7	LGALS7	0.429
S100A7	SPRR2D	0.448
S100A7	CALML5	0.45
S100A7	SPRR2E	0.51
S100A7	SPRR2G	0.511
S100A7	SPRR2A	0.524
S100A7	CASP14	0.541
S100A7	LCE3D	0.55
S100A7	SPRR1A	0.588
S100A7	IVL	0.616
S100A7	KRT6A	0.627
S100A7	S100A2	0.705
S100A7	S100A7A	0.962
S100A7A	KRT6A	0.461
S100A7A	S100A2	0.524
S100A7A	SPRR2G	0.533
S100A7A	LCE3D	0.534
S100A7A	CRCT1	0.646
SPRR2G	CASP14	0.489
SPRR2G	CRCT1	0.523
SPRR2G	SPRR2A	0.578
SPRR2G	KPRP	0.582
SPRR2G	IVL	0.662
SPRR2G	LCE1C	0.734
SPRR2G	SPRR1A	0.817
SPRR2G	SPRR2D	0.884
SPRR2G	SPRR2F	0.895
SPRR2G	SPRR2E	0.918
SPRR2G	LCE3D	0.964
SPRR2E	KPRP	0.42
SPRR2E	SBSN	0.478
SPRR2E	CRCT1	0.547
SPRR2E	CASP14	0.638
SPRR2E	IVL	0.666
SPRR2E	LCE1C	0.779
SPRR2E	SPRR1A	0.858
SPRR2E	LCE3D	0.858
SPRR2E	SPRR2F	0.893
SPRR2E	SPRR2A	0.962
SPRR2E	SPRR2D	0.968
SPRR2D	SBSN	0.405
SPRR2D	CRCT1	0.425
SPRR2D	CASP14	0.441
SPRR2D	KRT6A	0.515
SPRR2D	IVL	0.709
SPRR2D	LCE1C	0.812
SPRR2D	SPRR1A	0.849
SPRR2D	LCE3D	0.891
SPRR2D	SPRR2F	0.934
SPRR2D	SPRR2A	0.966
SPRR1A	CASP14	0.504
SPRR1A	SBSN	0.555
SPRR1A	KRT6A	0.713
SPRR1A	CRCT1	0.749
SPRR1A	SPRR2F	0.768
SPRR1A	LCE1C	0.787
SPRR1A	LCE3D	0.872
SPRR1A	SPRR2A	0.891
SPRR1A	IVL	0.963
IVL	KRT6A	0.404
IVL	KPRP	0.405
IVL	KRT3	0.421
IVL	SBSN	0.459
IVL	CALML5	0.46
IVL	CRCT1	0.461
IVL	SPRR2F	0.611
IVL	KLK6	0.627
IVL	LCE1C	0.658
IVL	LCE3D	0.75
IVL	CASP14	0.77
IVL	SPRR2A	0.776
LCE3D	CASP14	0.573
LCE3D	SBSN	0.62
LCE3D	KPRP	0.667
LCE3D	SPRR2A	0.772
LCE3D	SPRR2F	0.793
LCE3D	CRCT1	0.834
LCE3D	LCE1C	0.848
CRCT1	LCE1C	0.403
CRCT1	SPRR2A	0.455
CRCT1	SBSN	0.623
CRCT1	KPRP	0.676
VAX1	PAX6	0.416
